n, m
17650, 94450
17670, 118233
17690, 83260
17710, 94549
17730, 81739
17750, 75948
17770, 95050
17790, 90873
17810, 126990
17830, 84893
17850, 86326
17870, 86264
17890, 83246
17910, 102970
17930, 86792
17950, 88067
17970, 82443
17990, 91138
18010, 97770
18030, 91924
18050, 97532
18070, 99661
18090, 102274
18110, 84311
18130, 82537
18150, 96422
18170, 98660
18190, 88029
18210, 81348
18230, 111615
18250, 85004
18270, 82354
18290, 80611
18310, 87847
18330, 84900
18350, 110472
18370, 87502
18390, 86521
18410, 89724
18430, 103096
18450, 106817
18470, 86530
18490, 98052
18510, 97777
18530, 90336
18550, 95077
18570, 127893
18590, 95637
18610, 84152
18630, 108630
18650, 90153
18670, 124998
18690, 105632
18710, 94085
18730, 101735
18750, 98680
18770, 105346
18790, 109595
18810, 91473
18830, 109246
18850, 132642
18870, 92266
18890, 98829
18910, 96150
18930, 112835
18950, 94880
18970, 106041
18990, 87241
19010, 89486
19030, 124604
19050, 128141
19070, 80379
19090, 108292
19110, 99644
19130, 102707
19150, 82833
19170, 94967
19190, 126712
19210, 102269
19230, 94835
19250, 101398
19270, 101575
19290, 83756
19310, 103313
19330, 91949
19350, 99515
19370, 113642
19390, 103173
19410, 85517
19430, 83132
19450, 88487
19470, 97998
19490, 83849
19510, 102153
19530, 99053
19550, 113537
19570, 150696
19590, 104728
19610, 90596
19630, 94340
19650, 115769
19670, 94331
19690, 102221
19710, 117373
19730, 94389
19750, 100669
19770, 113365
19790, 102645
19810, 88498
19830, 105631
19850, 110627
19870, 110394
19890, 109773
19910, 120738
19930, 85110
19950, 95942
19970, 112213
19990, 117379
20010, 117580
20030, 107520
20050, 104660
20070, 95365
20090, 121621
20110, 110905
20130, 100763
20150, 101796
20170, 106709
20190, 96757
20210, 107025
20230, 106805
20250, 102710
20270, 135191
20290, 97938
20310, 115595
20330, 145728
20350, 103745
20370, 103713
20390, 121081
20410, 108849
20430, 114375
20450, 104491
20470, 136119
20490, 97176
20510, 121791
20530, 125473
20550, 118293
20570, 117729
20590, 109159
20610, 99149
20630, 93304
20650, 116169
20670, 108753
20690, 143404
20710, 115077
20730, 105692
20750, 98049
20770, 101554
20790, 114269
20810, 100924
20830, 88419
20850, 99499
20870, 113674
20890, 101466
20910, 114202
20930, 107967
20950, 121508
20970, 101039
20990, 95929
21010, 104834
21030, 106477
21050, 93125
21070, 106669
21090, 108715
21110, 129699
21130, 107561
21150, 159051
21170, 122990
21190, 119194
21210, 106942
21230, 126550
21250, 105326
21270, 121469
21290, 94287
21310, 115892
21330, 107176
21350, 112046
21370, 120852
21390, 101708
21410, 121453
21430, 108956
21450, 107576
21470, 116719
21490, 89134
21510, 104368
21530, 104711
21550, 131495
21570, 116472
21590, 115266
21610, 100463
21630, 105831
21650, 98709
21670, 116643
21690, 132424
21710, 99195
21730, 103875
21750, 119399
21770, 106095
21790, 104226
21810, 100771
21830, 95977
21850, 153733
21870, 119130
21890, 116930
21910, 104128
21930, 107266
21950, 93001
21970, 176893
21990, 123510
22010, 106445
22030, 107373
22050, 108875
22070, 137612
22090, 103739
22110, 117301
22130, 136816
22150, 117566
22170, 114198
22190, 108861
22210, 133686
22230, 117747
22250, 112638
22270, 137257
22290, 109138
22310, 120159
22330, 111484
22350, 107257
22370, 121186
22390, 143080
22410, 111572
22430, 110912
22450, 119893
22470, 111237
22490, 106010
22510, 111558
22530, 125803
22550, 116066
22570, 110017
22590, 144746
22610, 112168
22630, 113710
22650, 134793
22670, 131319
22690, 124829
22710, 114049
22730, 141076
22750, 108659
22770, 122955
22790, 107300
22810, 103288
22830, 117130
22850, 120872
22870, 141677
22890, 107903
22910, 130810
22930, 114540
22950, 119969
22970, 117115
22990, 118623
23010, 129801
23030, 106954
23050, 130186
23070, 104503
23090, 131169
23110, 136436
23130, 116943
23150, 116912
23170, 170118
23190, 107820
23210, 140748
23230, 105160
23250, 116767
23270, 111167
23290, 132415
23310, 103180
23330, 123330
23350, 136595
23370, 115068
23390, 102299
23410, 121233
23430, 107366
23450, 117568
23470, 133916
23490, 141363
23510, 154482
23530, 126102
23550, 121988
23570, 117719
23590, 125074
23610, 109854
23630, 104676
23650, 126952
23670, 120467
23690, 106747
23710, 112360
23730, 115533
23750, 144552
23770, 139808
23790, 122973
23810, 111920
23830, 145289
23850, 116717
23870, 126842
23890, 123279
23910, 114703
23930, 118247
23950, 128744
23970, 135131
23990, 129518
24010, 105754
24030, 116071
24050, 111594
24070, 140210
24090, 123904
24110, 101346
24130, 154459
24150, 103743
24170, 154852
24190, 142529
24210, 106582
24230, 147790
24250, 125241
24270, 122807
24290, 154209
24310, 121870
24330, 150691
24350, 133980
24370, 159912
24390, 117119
24410, 143328
24430, 132818
24450, 127623
24470, 118524
24490, 126902
24510, 122517
24530, 129070
24550, 116873
24570, 127048
24590, 128693
24610, 121224
24630, 139419
24650, 124643
24670, 133136
24690, 114063
24710, 110984
24730, 127648
24750, 158468
24770, 139092
24790, 178234
24810, 122478
24830, 125500
24850, 127253
24870, 114819
24890, 119902
24910, 124529
24930, 186605
24950, 112851
24970, 122879
24990, 173094
25010, 136864
25030, 123078
25050, 146806
25070, 128765
25090, 188266
25110, 172880
25130, 127004
25150, 120484
25170, 142513
25190, 136777
25210, 130098
25230, 148789
25250, 129302
25270, 137892
25290, 134501
25310, 145454
25330, 130954
25350, 130868
25370, 131183
25390, 128874
25410, 145025
25430, 132421
25450, 161399
25470, 174241
25490, 128569
25510, 147301
25530, 137675
25550, 122679
25570, 144633
25590, 121087
25610, 120940
25630, 153159
25650, 145330
25670, 137315
25690, 133192
25710, 152136
25730, 119594
25750, 162390
25770, 125603
25790, 141713
25810, 124015
25830, 140524
25850, 117087
25870, 145035
25890, 125556
25910, 145154
25930, 121374
25950, 140087
25970, 122039
25990, 155714
26010, 118633
26030, 123122
26050, 131317
26070, 132962
26090, 130132
26110, 162035
26130, 185225
26150, 133685
26170, 149931
26190, 132115
26210, 142026
26230, 140690
26250, 131913
26270, 168259
26290, 128044
26310, 138250
26330, 160752
26350, 164553
26370, 173429
26390, 126370
26410, 148010
26430, 123888
26450, 146211
26470, 141016
26490, 149709
26510, 123531
26530, 152428
26550, 135454
26570, 134704
26590, 137255
26610, 121534
26630, 131056
26650, 140038
26670, 123567
26690, 140619
26710, 125252
26730, 140857
26750, 157023
26770, 129693
26790, 171620
26810, 150368
26830, 129588
26850, 158812
26870, 143735
26890, 179608
26910, 137454
26930, 152753
26950, 144130
26970, 155157
26990, 159569
27010, 150160
27030, 180440
27050, 139287
27070, 162679
27090, 153283
27110, 132581
27130, 141273
27150, 139301
27170, 128941
27190, 176529
27210, 143604
27230, 147297
27250, 132224
27270, 129065
27290, 181655
27310, 157168
27330, 155306
27350, 148099
27370, 135715
27390, 139329
27410, 138026
27430, 145966
27450, 140900
27470, 136079
27490, 200352
27510, 157548
27530, 144476
27550, 179810
27570, 162726
27590, 139344
27610, 158405
27630, 159193
27650, 167755
27670, 138276
27690, 176961
27710, 136491
27730, 152230
27750, 143834
27770, 139434
27790, 169276
27810, 187433
27830, 154704
27850, 139745
27870, 154510
27890, 155312
27910, 175852
27930, 141405
27950, 126987
27970, 160815
27990, 159667
28010, 137302
28030, 149058
28050, 155380
28070, 149253
28090, 216087
28110, 150337
28130, 173274
28150, 135915
28170, 167856
28190, 145942
28210, 165030
28230, 164097
28250, 149012
28270, 144141
28290, 135066
28310, 203243
28330, 130674
28350, 138076
28370, 155569
28390, 144214
28410, 146788
28430, 159350
28450, 157114
28470, 155413
28490, 154836
28510, 128517
28530, 161151
28550, 137461
28570, 151729
28590, 146540
28610, 170289
28630, 138734
28650, 149116
28670, 195836
28690, 152148
28710, 138920
28730, 162416
28750, 161650
28770, 148505
28790, 185271
28810, 157991
28830, 156845
28850, 150349
28870, 139108
28890, 159413
28910, 167779
28930, 150219
28950, 182841
28970, 147936
28990, 146227
29010, 178803
29030, 129899
29050, 172767
29070, 166060
29090, 151872
29110, 138840
29130, 172766
29150, 178616
29170, 178704
29190, 154058
29210, 151042
29230, 172126
29250, 147450
29270, 157074
29290, 144374
29310, 138636
29330, 148049
29350, 174485
29370, 142238
29390, 156305
29410, 213416
29430, 152223
29450, 215203
29470, 169715
29490, 149301
29510, 160324
29530, 160315
29550, 201174
29570, 156494
29590, 157541
29610, 162829
29630, 142593
29650, 173271
29670, 203630
29690, 163205
29710, 184990
29730, 142244
29750, 166921
29770, 140503
29790, 164271
29810, 150966
29830, 141268
29850, 159224
29870, 173770
29890, 178742
29910, 152361
29930, 152830
29950, 173402
29970, 150533
29990, 153703
30010, 163264
30030, 130736
30050, 148169
30070, 152687
30090, 176359
30110, 192303
30130, 163281
30150, 154068
30170, 151962
30190, 158482
30210, 157683
30230, 165076
30250, 179014
30270, 151327
30290, 159417
30310, 132303
30330, 189367
30350, 186046
30370, 147244
30390, 154690
30410, 183110
30430, 165843
30450, 181842
30470, 204276
30490, 184747
30510, 182440
30530, 171843
30550, 152012
30570, 179587
30590, 140648
30610, 161401
30630, 153722
30650, 164687
30670, 157382
30690, 157079
30710, 201701
30730, 169534
30750, 157702
30770, 158099
30790, 149059
30810, 175053
30830, 216744
30850, 141377
30870, 186150
30890, 142997
30910, 150337
30930, 172734
30950, 170351
30970, 178314
30990, 181880
31010, 194803
31030, 164512
31050, 173021
31070, 164539
31090, 142517
31110, 189780
31130, 170583
31150, 158321
31170, 178587
31190, 172663
31210, 170092
31230, 174741
31250, 156906
31270, 162419
31290, 165457
31310, 187914
31330, 173335
31350, 146613
31370, 166165
31390, 198396
31410, 146625
31430, 149374
31450, 187936
31470, 196295
31490, 142246
31510, 166251
31530, 154395
31550, 170877
31570, 174808
31590, 168032
31610, 192094
31630, 155820
31650, 166231
31670, 148790
31690, 174769
31710, 181626
31730, 148860
31750, 171824
31770, 145464
31790, 161486
31810, 179604
31830, 197878
31850, 186883
31870, 173409
31890, 187960
31910, 138699
31930, 160963
31950, 165225
31970, 220511
31990, 234987
32010, 165226
32030, 166308
32050, 161518
32070, 169994
32090, 150550
32110, 223667
32130, 208238
32150, 164897
32170, 161637
32190, 163340
32210, 185224
32230, 158550
32250, 152817
32270, 168426
32290, 181168
32310, 150933
32330, 193001
32350, 145339
32370, 147569
32390, 191395
32410, 160021
32430, 178580
32450, 178970
32470, 176928
32490, 181918
32510, 157727
32530, 161538
32550, 157703
32570, 173800
32590, 179640
32610, 175749
32630, 144987
32650, 165153
32670, 198898
32690, 145897
32710, 179317
32730, 158891
32750, 161056
32770, 158709
32790, 183453
32810, 153560
32830, 178850
32850, 234130
32870, 194119
32890, 183015
32910, 143139
32930, 160273
32950, 207555
32970, 167071
32990, 187472
33010, 182371
33030, 215352
33050, 167552
33070, 183163
33090, 166406
33110, 168220
33130, 194327
33150, 171469
33170, 188047
33190, 157627
33210, 181302
33230, 179824
33250, 178007
33270, 191179
33290, 212536
33310, 187057
33330, 198627
33350, 193069
33370, 201487
33390, 193351
33410, 205796
33430, 219066
33450, 178764
33470, 164990
33490, 179689
33510, 184388
33530, 219326
33550, 213559
33570, 208420
33590, 155509
33610, 198590
33630, 167924
33650, 188423
33670, 207281
33690, 170888
33710, 214707
33730, 152679
33750, 161648
33770, 202231
33790, 163029
33810, 181710
33830, 171822
33850, 181869
33870, 159518
33890, 158780
33910, 200394
33930, 191456
33950, 220855
33970, 195849
33990, 185218
34010, 158032
34030, 183300
34050, 166078
34070, 180307
34090, 175773
34110, 200108
34130, 177748
34150, 192319
34170, 224862
34190, 170280
34210, 203712
34230, 176723
34250, 171515
34270, 170289
34290, 182588
34310, 198487
34330, 168395
34350, 213697
34370, 163162
34390, 196175
34410, 178569
34430, 223168
34450, 229656
34470, 183380
34490, 242552
34510, 242314
34530, 156062
34550, 190062
34570, 170826
34590, 190141
34610, 182078
34630, 163053
34650, 207624
34670, 204406
34690, 189628
34710, 222397
34730, 179477
34750, 208219
34770, 170148
34790, 225001
34810, 185354
34830, 182213
34850, 173799
34870, 178639
34890, 201037
34910, 180337
34930, 212939
34950, 175560
34970, 193069
34990, 172159
35010, 219511
35030, 197419
35050, 183988
35070, 167569
35090, 192845
35110, 213211
35130, 189867
35150, 165073
35170, 179278
35190, 214288
35210, 287427
35230, 181071
35250, 220989
35270, 221259
35290, 177753
35310, 194966
35330, 166414
35350, 221779
35370, 193351
35390, 242132
35410, 217474
35430, 181937
35450, 255644
35470, 195034
35490, 210152
35510, 190832
35530, 178025
35550, 198050
35570, 229672
35590, 176054
35610, 176457
35630, 224635
35650, 191304
35670, 195011
35690, 257748
35710, 203875
35730, 215830
35750, 176838
35770, 196959
35790, 211370
35810, 202984
35830, 169484
35850, 170798
35870, 184751
35890, 222327
35910, 276531
35930, 223221
35950, 212206
35970, 199423
35990, 221918
36010, 200501
36030, 216756
36050, 190804
36070, 189051
36090, 185065
36110, 187577
36130, 256997
36150, 187731
36170, 183523
36190, 178265
36210, 189331
36230, 185188
36250, 167359
36270, 177241
36290, 195387
36310, 206320
36330, 181465
36350, 197499
36370, 181814
36390, 211334
36410, 263856
36430, 239248
36450, 179202
36470, 263075
36490, 182594
36510, 187632
36530, 250462
36550, 191323
36570, 230744
36590, 187109
36610, 291469
36630, 210570
36650, 232770
36670, 227147
36690, 180774
36710, 205248
36730, 175584
36750, 206432
36770, 186927
36790, 192016
36810, 251987
36830, 208111
36850, 208668
36870, 196041
36890, 200225
36910, 185825
36930, 180834
36950, 215263
36970, 198863
36990, 201892
37010, 224545
37030, 194729
37050, 236287
37070, 194248
37090, 277492
37110, 189271
37130, 174266
37150, 184592
37170, 235404
37190, 199128
37210, 211973
37230, 236732
37250, 221710
37270, 175396
37290, 196619
37310, 243645
37330, 204069
37350, 267561
37370, 209887
37390, 181439
37410, 213337
37430, 259698
37450, 221652
37470, 220640
37490, 202747
37510, 202572
37530, 215527
37550, 221092
37570, 221458
37590, 204808
37610, 199402
37630, 209438
37650, 228615
37670, 244100
37690, 222863
37710, 211282
37730, 216529
37750, 222879
37770, 240437
37790, 183621
37810, 207865
37830, 183307
37850, 189252
37870, 198922
37890, 215919
37910, 207680
37930, 199299
37950, 212350
37970, 226086
37990, 242434
38010, 225188
38030, 206984
38050, 217066
38070, 217071
38090, 211870
38110, 220830
38130, 176677
38150, 244142
38170, 217527
38190, 213619
38210, 210155
38230, 235302
38250, 200269
38270, 227241
38290, 221507
38310, 247394
38330, 200801
38350, 218223
38370, 218534
38390, 175758
38410, 269337
38430, 168577
38450, 193450
38470, 190653
38490, 185388
38510, 192231
38530, 203494
38550, 207351
38570, 236929
38590, 177856
38610, 182203
38630, 220544
38650, 243456
38670, 248649
38690, 187315
38710, 200120
38730, 178405
38750, 256134
38770, 180068
38790, 223754
38810, 251957
38830, 189009
38850, 242650
38870, 215145
38890, 201993
38910, 221996
38930, 192029
38950, 224792
38970, 209310
38990, 237118
39010, 215743
39030, 221959
39050, 218266
39070, 206045
39090, 218135
39110, 249622
39130, 247130
39150, 201917
39170, 209457
39190, 227394
39210, 207574
39230, 205162
39250, 178124
39270, 209233
39290, 303222
39310, 191622
39330, 250041
39350, 233621
39370, 219923
39390, 194379
39410, 193546
39430, 227214
39450, 224027
39470, 211966
39490, 205226
39510, 245428
39530, 210002
39550, 198717
39570, 213409
39590, 199630
39610, 197490
39630, 272368
39650, 216216
39670, 210949
39690, 230313
39710, 184629
39730, 243566
39750, 215408
39770, 248757
39790, 220249
39810, 281780
39830, 209646
39850, 225582
39870, 289381
39890, 226863
39910, 190784
39930, 208234
39950, 221066
39970, 209379
39990, 201253
40010, 224819
40030, 201913
40050, 230302
40070, 185578
40090, 229666
40110, 211140
40130, 230022
